id,title,description,difficulty_level,created_at,updated_at,examples,constraints,test_cases
64,Substring Pattern Matching,"Given a string `text` and a string `pattern`, determine if the `pattern` occurs in the `text` such that the characters in the `pattern` are in the same order in the `text`, but not necessarily consecutively. Return 1 if the pattern is a subsequence of the text, and 0 otherwise.",Medium,2025-03-16T10:16:49.174038+00:00,2025-03-16T10:16:49.174038+00:00,"[{""input"": {""text"": ""abbcabc"", ""pattern"": ""abc""}, ""output"": 1}, {""input"": {""text"": ""axc"", ""pattern"": ""abc""}, ""output"": 0}]","[""text and pattern consist of lowercase English letters."", ""1 <= pattern.length <= 10^5"", ""1 <= text.length <= 10^5""]","[{""input"": {""text"": ""abbcabc"", ""pattern"": ""abc""}, ""expected_output"": 1}, {""input"": {""text"": ""axc"", ""pattern"": ""abc""}, ""expected_output"": 0}, {""input"": {""text"": ""abcabc"", ""pattern"": ""abc""}, ""expected_output"": 1}, {""input"": {""text"": ""aaaaaa"", ""pattern"": ""aab""}, ""expected_output"": 0}, {""input"": {""text"": ""leetcode"", ""pattern"": ""ltcd""}, ""expected_output"": 1}]"
73,Non-overlapping Intervals,"Given a collection of intervals, find the minimum number of intervals you need to remove to make the rest of the intervals non-overlapping. An interval [a, b] overlaps with [c, d] if a < d and c < b.",Easy,2025-03-16T10:21:57.261224+00:00,2025-03-16T10:21:57.261224+00:00,"[{""input"": {""intervals"": [[1, 2], [2, 3], [3, 4], [1, 3]]}, ""output"": 1}, {""input"": {""intervals"": [[1, 2], [1, 2], [1, 2]]}, ""output"": 2}]","[""-5 * 10^4 <= starti < endi <= 5 * 10^4"", ""intervals[i].length == 2"", ""1 <= intervals.length <= 2 * 10^4""]","[{""input"": {""intervals"": [[1, 2], [2, 3], [3, 4], [1, 3]]}, ""expected_output"": 1}, {""input"": {""intervals"": [[1, 2], [1, 2], [1, 2]]}, ""expected_output"": 2}, {""input"": {""intervals"": [[1, 100], [11, 22], [1, 11], [2, 12]]}, ""expected_output"": 2}, {""input"": {""intervals"": [[1, 2]]}, ""expected_output"": 0}, {""input"": {""intervals"": [[0, 2], [1, 3], [2, 4], [3, 5]]}, ""expected_output"": 0}]"
78,Find Element in Sorted Array,"Given a sorted array of integers `nums` and an integer `target`, return 1 if the target exists in the array, otherwise return 0.",Easy,2025-03-16T10:25:05.895756+00:00,2025-03-16T10:25:05.895756+00:00,"[{""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 13}, ""output"": 0}, {""input"": {""nums"": [-1, 0, 3, 5, 9, 12], ""target"": 9}, ""output"": 1}]","[""nums is sorted in ascending order."", ""All the integers in nums are unique."", ""-10^4 <= nums[i], target <= 10^4"", ""1 <= nums.length <= 10^4""]","[{""input"": {""nums"": [-1, 0, 3, 5, 9, 12], ""target"": 9}, ""expected_output"": 1}, {""input"": {""nums"": [-1, 0, 3, 5, 9, 12], ""target"": 2}, ""expected_output"": 0}, {""input"": {""nums"": [5], ""target"": 5}, ""expected_output"": 1}, {""input"": {""nums"": [2, 5], ""target"": 5}, ""expected_output"": 1}, {""input"": {""nums"": [2, 5], ""target"": 1}, ""expected_output"": 0}]"
85,Find First Occurrence,"Given a sorted array of integers `nums` and a target integer `target`, return the index of the first occurrence of the `target` in the array. If the `target` is not found, return -1.",Easy,2025-03-16T10:33:19.382233+00:00,2025-03-16T10:33:19.382233+00:00,"[{""input"": {""nums"": [2, 5, 5, 5, 6, 6, 8, 9], ""target"": 5}, ""output"": 1}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 13}, ""output"": -1}]","[""nums is sorted in non-decreasing order."", ""-10^4 <= nums[i], target <= 10^4"", ""1 <= nums.length <= 10^4""]","[{""input"": {""nums"": [2, 5, 5, 5, 6, 6, 8, 9], ""target"": 5}, ""expected_output"": 1}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 13}, ""expected_output"": -1}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 0}, ""expected_output"": -1}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""target"": 3}, ""expected_output"": 2}, {""input"": {""nums"": [1, 1, 1, 1, 1], ""target"": 1}, ""expected_output"": 0}]"
86,Climbing Stairs,You are climbing a staircase. It takes n steps to reach the top. Each time you can either climb 1 or 2 steps. How many distinct ways can you climb to the top? Return the number of distinct ways modulo 1000000007.,Easy,2025-03-16T10:33:31.038686+00:00,2025-03-16T10:33:31.038686+00:00,"[{""input"": {""n"": 2}, ""output"": 2}, {""input"": {""n"": 3}, ""output"": 3}]","[""1 <= n <= 45""]","[{""input"": {""n"": 1}, ""expected_output"": 1}, {""input"": {""n"": 2}, ""expected_output"": 2}, {""input"": {""n"": 3}, ""expected_output"": 3}, {""input"": {""n"": 4}, ""expected_output"": 5}, {""input"": {""n"": 5}, ""expected_output"": 8}]"
89,Activity Selection,"Given a set of activities with their start and finish times, select the maximum number of activities that can be performed by a single person, assuming that a person can only work on one activity at a time. Return the maximum number of activities that can be performed.",Medium,2025-03-16T10:38:40.374851+00:00,2025-03-16T10:38:40.374851+00:00,"[{""input"": {""start_times"": [1, 3, 0, 5, 8, 5], ""finish_times"": [2, 4, 6, 7, 9, 9]}, ""output"": 4}, {""input"": {""start_times"": [1, 3, 2, 5], ""finish_times"": [2, 4, 3, 6]}, ""output"": 3}]","[""0 \u2264 start time < finish time \u2264 10^9"", ""1 \u2264 number of activities \u2264 10^4""]","[{""input"": {""start_times"": [1, 3, 0, 5, 8, 5], ""finish_times"": [2, 4, 6, 7, 9, 9]}, ""expected_output"": 4}, {""input"": {""start_times"": [1, 3, 2, 5], ""finish_times"": [2, 4, 3, 6]}, ""expected_output"": 3}, {""input"": {""start_times"": [10, 12, 20], ""finish_times"": [20, 25, 30]}, ""expected_output"": 3}, {""input"": {""start_times"": [1, 2, 3, 4, 5, 6], ""finish_times"": [2, 3, 4, 5, 6, 7]}, ""expected_output"": 6}, {""input"": {""start_times"": [1, 2, 3, 4, 5, 6], ""finish_times"": [7, 8, 9, 10, 11, 12]}, ""expected_output"": 6}]"
107,Maximum Profit with K Transactions,"You are given an array of integers prices where prices[i] is the price of a given stock on the i-th day. You are also given an integer k, representing the maximum number of transactions you can make (i.e., buy and sell a stock k times). Find the maximum profit you can achieve.",Hard,2025-03-16T10:43:21.834931+00:00,2025-03-16T10:43:21.834931+00:00,"[{""input"": {""k"": 2, ""prices"": [2, 4, 1, 7, 5]}, ""output"": 6}, {""input"": {""k"": 2, ""prices"": [3, 2, 6, 5, 0, 3]}, ""output"": 7}]","[""0 <= k <= 100"", ""0 <= prices[i] <= 1000"", ""1 <= prices.length <= 1000""]","[{""input"": {""k"": 2, ""prices"": [2, 4, 1, 7, 5]}, ""expected_output"": 6}, {""input"": {""k"": 2, ""prices"": [3, 2, 6, 5, 0, 3]}, ""expected_output"": 7}, {""input"": {""k"": 3, ""prices"": [1, 2, 3, 4, 5]}, ""expected_output"": 4}, {""input"": {""k"": 2, ""prices"": [7, 6, 4, 3, 1]}, ""expected_output"": 0}, {""input"": {""k"": 3, ""prices"": [1, 2, 4, 2, 5, 7, 2, 4, 9, 0]}, ""expected_output"": 11}]"
115,Path Existence,"Given a graph represented as an adjacency list and two nodes, 'start' and 'end', determine if a path exists between 'start' and 'end'. Return 1 if a path exists, otherwise return 0.",Easy,2025-03-16T10:47:53.395911+00:00,2025-03-16T10:47:53.395911+00:00,"[{""input"": {""end"": 3, ""graph"": {""0"": [1, 2], ""1"": [2], ""2"": [0, 3], ""3"": [3]}, ""start"": 0}, ""output"": 1}, {""input"": {""end"": 3, ""graph"": {""0"": [1, 2], ""1"": [2], ""2"": [0], ""3"": [3]}, ""start"": 1}, ""output"": 0}]","[""start and end are valid node IDs within the graph."", ""0 <= Number of nodes <= 100"", ""Node IDs are non-negative integers."", ""The graph is represented as an adjacency list where keys are node IDs (integers) and values are lists of adjacent node IDs.""]","[{""input"": {""end"": 3, ""graph"": {""0"": [1, 2], ""1"": [2], ""2"": [0, 3], ""3"": [3]}, ""start"": 0}, ""expected_output"": 1}, {""input"": {""end"": 3, ""graph"": {""0"": [1, 2], ""1"": [2], ""2"": [0], ""3"": [3]}, ""start"": 1}, ""expected_output"": 0}, {""input"": {""end"": 3, ""graph"": {""0"": [1], ""1"": [2], ""2"": [3], ""3"": []}, ""start"": 0}, ""expected_output"": 1}, {""input"": {""end"": 2, ""graph"": {""0"": [1], ""1"": [2], ""2"": [], ""3"": [0]}, ""start"": 3}, ""expected_output"": 1}, {""input"": {""end"": 3, ""graph"": {""0"": [], ""1"": [], ""2"": [], ""3"": []}, ""start"": 0}, ""expected_output"": 0}]"
130,Valid Parentheses with Wildcards,"Given a string s containing just the characters '(', ')', and '*', determine if the string is valid. The '*' character can be treated as a single '(' or a single ')' or an empty string. A string is valid if:

1. Every left parenthesis '(' must have a corresponding right parenthesis ')'.
2. Every right parenthesis ')' must have a corresponding left parenthesis '('.
3. Left parenthesis '(' must go before the corresponding right parenthesis ')'.
4. The '*' can be treated as a single '(' or a single ')' or an empty string.
",Medium,2025-03-16T16:44:09.511948+00:00,2025-03-16T16:44:09.511948+00:00,"[{""input"": {""s"": ""()""}, ""output"": 1}, {""input"": {""s"": ""(*)""}, ""output"": 1}]","[""s[i] is '(', ')' or '*'"", ""1 <= s.length <= 100""]","[{""input"": {""s"": ""()""}, ""expected_output"": 1}, {""input"": {""s"": ""(*)""}, ""expected_output"": 1}, {""input"": {""s"": ""(*))""}, ""expected_output"": 1}, {""input"": {""s"": ""(((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((()""}, ""expected_output"": 0}, {""input"": {""s"": "")""}, ""expected_output"": 0}, {""input"": {""s"": "")*""}, ""expected_output"": 0}, {""input"": {""s"": ""(**))""}, ""expected_output"": 1}]"
131,Palindrome Check (Recursive),"Given a string, determine if it is a palindrome using recursion. Return 1 if it is a palindrome, and 0 otherwise. Ignore case and non-alphanumeric characters.",Easy,2025-03-16T16:44:21.880406+00:00,2025-03-16T16:44:21.880406+00:00,"[{""input"": {""s"": ""Racecar""}, ""output"": 1}, {""input"": {""s"": ""A man, a plan, a canal: Panama""}, ""output"": 1}]","[""s consists of printable ASCII characters."", ""1 <= s.length <= 10^5""]","[{""input"": {""s"": ""Racecar""}, ""expected_output"": 1}, {""input"": {""s"": ""hello""}, ""expected_output"": 0}, {""input"": {""s"": ""A man, a plan, a canal: Panama""}, ""expected_output"": 1}, {""input"": {""s"": ""Was it a car or a cat I saw?""}, ""expected_output"": 1}, {""input"": {""s"": ""Madam, I'm Adam""}, ""expected_output"": 1}]"
132,Check if Sorted,"Given an array of integers, determine if the array is sorted in non-decreasing order. Return 1 if it is sorted, and 0 otherwise.",Easy,2025-03-16T16:44:34.700697+00:00,2025-03-16T16:44:34.700697+00:00,"[{""input"": {""nums"": [1, 2, 3, 4, 5]}, ""output"": 1}, {""input"": {""nums"": [5, 4, 3, 2, 1]}, ""output"": 0}]","[""-100 <= nums[i] <= 100"", ""1 <= nums.length <= 100""]","[{""input"": {""nums"": [1, 2, 3, 4, 5]}, ""expected_output"": 1}, {""input"": {""nums"": [5, 4, 3, 2, 1]}, ""expected_output"": 0}, {""input"": {""nums"": [1, 2, 2, 3, 4]}, ""expected_output"": 1}, {""input"": {""nums"": [1]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 1, 4, 5]}, ""expected_output"": 0}]"
139,Friend Circles,"There are N students in a class. Some of them are friends, while some are not. Their friendship is transitive in nature. So, if A is a direct friend of B, and B is a direct friend of C, then A is an indirect friend of C. And we defined a friend circle is a group of students who are direct or indirect friends. Given a N*N matrix M representing the friend relationship between students in the class. If M[i][j] = 1, then the ith and jth students are direct friends with each other, otherwise not. You have to output the total number of friend circles among all the students. Return 1 if the students are in the same friend circle, otherwise return 0 after processing all inputs.",Easy,2025-03-16T16:47:17.836914+00:00,2025-03-16T16:47:17.836914+00:00,"[{""input"": {""matrix"": [[1, 1, 0], [1, 1, 0], [0, 0, 1]]}, ""output"": 2}, {""input"": {""matrix"": [[1, 1, 0], [1, 1, 1], [0, 1, 1]]}, ""output"": 1}]","[""M[i][j] = M[j][i]"", ""M[i][i] = 1"", ""1 <= N <= 200""]","[{""input"": {""matrix"": [[1, 1, 0], [1, 1, 0], [0, 0, 1]]}, ""expected_output"": 2}, {""input"": {""matrix"": [[1, 1, 0], [1, 1, 1], [0, 1, 1]]}, ""expected_output"": 1}, {""input"": {""matrix"": [[1, 0, 0], [0, 1, 0], [0, 0, 1]]}, ""expected_output"": 3}, {""input"": {""matrix"": [[1, 0], [0, 1]]}, ""expected_output"": 2}, {""input"": {""matrix"": [[1, 1], [1, 1]]}, ""expected_output"": 1}]"
151,Search in Sorted Array,"Given a sorted array of integers `nums` and an integer `target`, determine if the target exists in the array. Return 1 if the target exists, and 0 otherwise. Use a divide and conquer approach.",Easy,2025-03-16T16:50:31.787896+00:00,2025-03-16T16:50:31.787896+00:00,"[{""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 13}, ""output"": 0}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 12}, ""output"": 1}]","[""nums is sorted in ascending order."", ""-10^4 <= nums[i], target <= 10^4"", ""1 <= nums.length <= 10^4""]","[{""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 13}, ""expected_output"": 0}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 12}, ""expected_output"": 1}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 0}, ""expected_output"": 0}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 5}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""target"": 3}, ""expected_output"": 1}]"
162,Course Schedule Check,"Given a number of courses n and a list of prerequisites where prerequisites[i] = [a, b] indicates that you must take course b first if you want to take course a, determine if it is possible to finish all courses. Return 1 if it is possible, otherwise return 0.",Easy,2025-03-16T16:54:05.511031+00:00,2025-03-16T16:54:05.511031+00:00,"[{""input"": {""n"": 2, ""prerequisites"": [[1, 0]]}, ""output"": 1}, {""input"": {""n"": 2, ""prerequisites"": [[1, 0], [0, 1]]}, ""output"": 0}]","[""All the pairs [ai, bi] are distinct."", ""ai != bi"", ""0 <= ai, bi < n"", ""prerequisites[i].length == 2"", ""0 <= prerequisites.length <= 2000"", ""1 <= n <= 2000""]","[{""input"": {""n"": 2, ""prerequisites"": [[1, 0]]}, ""expected_output"": 1}, {""input"": {""n"": 2, ""prerequisites"": [[1, 0], [0, 1]]}, ""expected_output"": 0}, {""input"": {""n"": 3, ""prerequisites"": [[0, 1], [0, 2], [1, 2]]}, ""expected_output"": 1}, {""input"": {""n"": 3, ""prerequisites"": [[0, 1], [1, 2], [2, 0]]}, ""expected_output"": 0}, {""input"": {""n"": 4, ""prerequisites"": [[0, 1], [0, 2], [1, 3], [2, 3]]}, ""expected_output"": 1}]"
172,Path Between Two Nodes,"Given a directed graph represented as an adjacency list and two nodes, 'start' and 'end', determine if a path exists between the 'start' node and the 'end' node. Return 1 if a path exists, otherwise return 0.",Easy,2025-03-16T16:57:56.729485+00:00,2025-03-16T16:57:56.729485+00:00,"[{""input"": {""end"": 3, ""graph"": {""0"": [1, 2], ""1"": [2], ""2"": [0, 3], ""3"": [3]}, ""start"": 0}, ""output"": 1}, {""input"": {""end"": 0, ""graph"": {""0"": [1, 2], ""1"": [2], ""2"": [0, 3], ""3"": [3]}, ""start"": 1}, ""output"": 0}]","[""The adjacency list will contain valid node values."", ""Node values will be integers from 0 to 99."", ""The graph will have at most 100 nodes.""]","[{""input"": {""end"": 3, ""graph"": {""0"": [1, 2], ""1"": [2], ""2"": [0, 3], ""3"": [3]}, ""start"": 0}, ""expected_output"": 1}, {""input"": {""end"": 0, ""graph"": {""0"": [1, 2], ""1"": [2], ""2"": [0, 3], ""3"": [3]}, ""start"": 1}, ""expected_output"": 0}, {""input"": {""end"": 3, ""graph"": {""0"": [1], ""1"": [2], ""2"": [3], ""3"": []}, ""start"": 0}, ""expected_output"": 1}, {""input"": {""end"": 3, ""graph"": {""0"": [1], ""1"": [2], ""2"": [], ""3"": []}, ""start"": 0}, ""expected_output"": 0}, {""input"": {""end"": 3, ""graph"": {""0"": [], ""1"": [], ""2"": [], ""3"": []}, ""start"": 0}, ""expected_output"": 0}]"
